Accurracy After n Branches, Accurracy in %
1370000, 92.8029%
1371000, 92.8055%
1372000, 92.808%
1373000, 92.8098%
1374000, 92.8119%
1375000, 92.8137%
1376000, 92.8133%
1377000, 92.8145%
1378000, 92.817%
1379000, 92.82%
1380000, 92.8228%
1381000, 92.8245%
1382000, 92.826%
1383000, 92.8265%
1384000, 92.8289%
1385000, 92.8313%
1386000, 92.8323%
1387000, 92.834%
1388000, 92.8371%
1389000, 92.8398%
1390000, 92.8413%
1391000, 92.8427%
1392000, 92.845%
1393000, 92.8461%
1394000, 92.8489%
1395000, 92.8506%
1396000, 92.8526%
1397000, 92.8533%
1398000, 92.8554%
1399000, 92.8584%
1400000, 92.8613%
1401000, 92.865%
1402000, 92.8671%
1403000, 92.8708%
1404000, 92.8714%
1405000, 92.8723%
1406000, 92.8723%
1407000, 92.8738%
1408000, 92.8768%
1409000, 92.8795%
1410000, 92.8823%
1411000, 92.885%
1412000, 92.8871%
1413000, 92.8889%
1414000, 92.8914%
1415000, 92.8936%
1416000, 92.8963%
1417000, 92.8983%
1418000, 92.9012%
1419000, 92.9032%
1420000, 92.9035%
1421000, 92.9055%
1422000, 92.9075%
1423000, 92.9104%
1424000, 92.9138%
1425000, 92.9171%
1426000, 92.9168%
1427000, 92.9167%
1428000, 92.9165%
1429000, 92.9178%
1430000, 92.9199%
1431000, 92.9224%
1432000, 92.9258%
1433000, 92.9287%
1434000, 92.9313%
1435000, 92.9339%
1436000, 92.9353%
1437000, 92.9375%
1438000, 92.9401%
1439000, 92.9435%
1440000, 92.9456%
1441000, 92.9462%
1442000, 92.9469%
1443000, 92.9497%
1444000, 92.9488%
1445000, 92.9493%
1446000, 92.9499%
1447000, 92.9525%
1448000, 92.9539%
1449000, 92.9561%
1450000, 92.9591%
1451000, 92.9618%
1452000, 92.9644%
1453000, 92.9674%
1454000, 92.9704%
1455000, 92.9732%
1456000, 92.9758%
1457000, 92.9783%
1458000, 92.9815%
1459000, 92.9853%
1460000, 92.9866%
1461000, 92.99%
1462000, 92.9919%
1463000, 92.9956%
1464000, 92.9993%
1465000, 93.0024%
1466000, 93.0046%
1467000, 93.0014%
1468000, 92.9972%
1469000, 92.9995%
1470000, 92.9986%
1471000, 92.995%
1472000, 92.9935%
1473000, 92.9849%
1474000, 92.9792%
1475000, 92.9711%
1476000, 92.9661%
1477000, 92.9644%
1478000, 92.9649%
1479000, 92.9633%
1480000, 92.9634%
1481000, 92.963%
1482000, 92.9609%
1483000, 92.9635%
1484000, 92.9644%
1485000, 92.9657%
1486000, 92.9653%
1487000, 92.9626%
1488000, 92.9612%
1489000, 92.9595%
1490000, 92.9614%
1491000, 92.9628%
1492000, 92.9619%
1493000, 92.9602%
1494000, 92.9594%
1495000, 92.9575%
1496000, 92.9566%
1497000, 92.9568%
1498000, 92.9609%
1499000, 92.9604%
1500000, 92.9588%
1501000, 92.9581%
1502000, 92.9568%
1503000, 92.9558%
1504000, 92.9545%
1505000, 92.9561%
1506000, 92.9571%
1507000, 92.9562%
1508000, 92.9538%
1509000, 92.9531%
1510000, 92.9531%
1511000, 92.9514%
1512000, 92.9503%
1513000, 92.9541%
1514000, 92.954%
1515000, 92.9539%
1516000, 92.9532%
1517000, 92.9525%
1518000, 92.9509%
1519000, 92.9502%
1520000, 92.9526%
1521000, 92.9541%
1522000, 92.9529%
1523000, 92.9518%
1524000, 92.9516%
1525000, 92.9508%
1526000, 92.949%
1527000, 92.9491%
1528000, 92.9522%
1529000, 92.9498%
1530000, 92.9462%
1531000, 92.9453%
1532000, 92.9462%
1533000, 92.9455%
1534000, 92.9446%
1535000, 92.9486%
1536000, 92.948%
1537000, 92.9478%
1538000, 92.9464%
1539000, 92.9459%
1540000, 92.9455%
1541000, 92.9452%
1542000, 92.9477%
1543000, 92.948%
1544000, 92.9477%
1545000, 92.9477%
1546000, 92.9485%
1547000, 92.9461%
1548000, 92.9408%
1549000, 92.9404%
1550000, 92.9404%
1551000, 92.9402%
1552000, 92.9396%
1553000, 92.9388%
1554000, 92.9381%
1555000, 92.9376%
1556000, 92.9371%
1557000, 92.9369%
1558000, 92.9361%
1559000, 92.9358%
1560000, 92.9352%
1561000, 92.9384%
1562000, 92.9419%
1563000, 92.9441%
1564000, 92.9477%
1565000, 92.9457%
1566000, 92.9413%
1567000, 92.9421%
1568000, 92.9443%
1569000, 92.9472%
1570000, 92.9508%
1571000, 92.9542%
1572000, 92.958%
1573000, 92.9618%
1574000, 92.9655%
1575000, 92.9692%
1576000, 92.9732%
1577000, 92.9771%
1578000, 92.9808%
1579000, 92.9845%
1580000, 92.9885%
1581000, 92.9862%
1582000, 92.9836%
1583000, 92.9822%
1584000, 92.9798%
1585000, 92.9809%
1586000, 92.9758%
1587000, 92.9779%
1588000, 92.9727%
1589000, 92.9742%
1590000, 92.9694%
1591000, 92.9678%
1592000, 92.9648%
1593000, 92.9605%
1594000, 92.9599%
1595000, 92.9556%
1596000, 92.9563%
1597000, 92.9522%
1598000, 92.9508%
1599000, 92.9478%
1600000, 92.9448%
1601000, 92.9434%
1602000, 92.9389%
1603000, 92.9385%
1604000, 92.9321%
1605000, 92.9315%
1606000, 92.9281%
1607000, 92.9265%
1608000, 92.9235%
1609000, 92.9176%
1610000, 92.917%
1611000, 92.911%
1612000, 92.9085%
1613000, 92.9068%
1614000, 92.9056%
1615000, 92.9089%
1616000, 92.9125%
1617000, 92.9161%
1618000, 92.92%
1619000, 92.9237%
1620000, 92.9275%
1621000, 92.9312%
1622000, 92.935%
1623000, 92.9388%
1624000, 92.9426%
1625000, 92.9453%
1626000, 92.9407%
1627000, 92.9412%
1628000, 92.9367%
1629000, 92.9354%
1630000, 92.9337%
1631000, 92.9304%
1632000, 92.9302%
1633000, 92.9253%
1634000, 92.927%
1635000, 92.9222%
1636000, 92.924%
1637000, 92.9182%
1638000, 92.9158%
1639000, 92.9145%
1640000, 92.9105%
1641000, 92.9112%
1642000, 92.906%
1643000, 92.9079%
1644000, 92.903%
1645000, 92.902%
1646000, 92.899%
1647000, 92.8953%
1648000, 92.8959%
1649000, 92.891%
1650000, 92.8894%
1651000, 92.8869%
1652000, 92.8844%
1653000, 92.8835%
1654000, 92.8787%
1655000, 92.8787%
1656000, 92.8745%
1657000, 92.8717%
1658000, 92.8708%
1659000, 92.8688%
1660000, 92.8716%
1661000, 92.8753%
1662000, 92.8788%
1663000, 92.8824%
1664000, 92.8861%
1665000, 92.8899%
1666000, 92.8935%
1667000, 92.8972%
1668000, 92.9008%
1669000, 92.9046%
1670000, 92.9083%
1671000, 92.9048%
1672000, 92.9035%
1673000, 92.901%
1674000, 92.8976%
1675000, 92.8974%
1676000, 92.8922%
1677000, 92.8927%
1678000, 92.889%
1679000, 92.8859%
1680000, 92.8836%
1681000, 92.8781%
1682000, 92.8789%
1683000, 92.8749%
1684000, 92.8747%
1685000, 92.8728%
1686000, 92.8694%
1687000, 92.8701%
1688000, 92.8648%
1689000, 92.8665%
1690000, 92.8605%
1691000, 92.8603%
1692000, 92.8572%
1693000, 92.855%
1694000, 92.8532%
1695000, 92.8486%
1696000, 92.8491%
1697000, 92.8437%
1698000, 92.8436%
1699000, 92.8403%
1700000, 92.8362%
1701000, 92.8356%
1702000, 92.831%
1703000, 92.8323%
1704000, 92.8283%
1705000, 92.8307%
1706000, 92.8341%
1707000, 92.8374%
1708000, 92.8411%
1709000, 92.8447%
1710000, 92.8484%
1711000, 92.8519%
1712000, 92.8555%
1713000, 92.8591%
1714000, 92.8628%
1715000, 92.8664%
1716000, 92.866%
1717000, 92.862%
1718000, 92.8629%
1719000, 92.8584%
1720000, 92.8592%
1721000, 92.8549%
1722000, 92.8528%
1723000, 92.8506%
1724000, 92.8459%
1725000, 92.8465%
1726000, 92.8428%
1727000, 92.8423%
1728000, 92.8406%
1729000, 92.8392%
1730000, 92.8388%
1731000, 92.8352%
1732000, 92.8359%
1733000, 92.8314%
1734000, 92.832%
1735000, 92.8269%
1736000, 92.8257%
1737000, 92.8234%
1738000, 92.8198%
1739000, 92.8202%
1740000, 92.8152%
1741000, 92.8157%
1742000, 92.812%
1743000, 92.8099%
1744000, 92.8076%
1745000, 92.8025%
1746000, 92.803%
1747000, 92.797%
1748000, 92.7946%
1749000, 92.7926%
1750000, 92.7915%
1751000, 92.7948%
1752000, 92.798%
1753000, 92.8014%
1754000, 92.805%
1755000, 92.8087%
1756000, 92.8122%
1757000, 92.8156%
1758000, 92.8192%
1759000, 92.8229%
1760000, 92.8264%
1761000, 92.8295%
1762000, 92.826%
1763000, 92.8264%
1764000, 92.8224%
1765000, 92.8201%
1766000, 92.8183%
1767000, 92.8138%
1768000, 92.8141%
1769000, 92.8101%
1770000, 92.8074%
1771000, 92.8065%
1772000, 92.8015%
1773000, 92.8029%
1774000, 92.7984%
1775000, 92.7983%
1776000, 92.7953%
1777000, 92.7917%
1778000, 92.791%
1779000, 92.7861%
1780000, 92.7874%
1781000, 92.7837%
1782000, 92.7824%
1783000, 92.7809%
1784000, 92.7784%
1785000, 92.7774%
1786000, 92.7731%
1787000, 92.7742%
1788000, 92.7699%
1789000, 92.7695%
1790000, 92.767%
1791000, 92.7643%
1792000, 92.7644%
1793000, 92.7594%
1794000, 92.7599%
1795000, 92.7576%
1796000, 92.7586%
1797000, 92.762%
1798000, 92.7655%
1799000, 92.7689%
1800000, 92.7723%
1801000, 92.7758%
1802000, 92.7794%
1803000, 92.7829%
1804000, 92.7862%
1805000, 92.7897%
1806000, 92.7933%
1807000, 92.7937%
1808000, 92.7898%
1809000, 92.7914%
1810000, 92.786%
1811000, 92.7842%
1812000, 92.7816%
1813000, 92.7785%
1814000, 92.7786%
1815000, 92.7738%
1816000, 92.7743%
1817000, 92.7714%
1818000, 92.7697%
1819000, 92.7684%
1820000, 92.7651%
1821000, 92.7653%
1822000, 92.7606%
1823000, 92.7624%
1824000, 92.7575%
1825000, 92.758%
1826000, 92.7546%
1827000, 92.7531%
1828000, 92.7514%
1829000, 92.7487%
1830000, 92.7486%
1831000, 92.744%
1832000, 92.7448%
1833000, 92.7396%
1834000, 92.7375%
1835000, 92.7365%
1836000, 92.7308%
1837000, 92.7305%
1838000, 92.7266%
1839000, 92.7258%
1840000, 92.7243%
1841000, 92.7243%
1842000, 92.7274%
1843000, 92.7305%
1844000, 92.7339%
1845000, 92.7374%
1846000, 92.7407%
1847000, 92.7442%
1848000, 92.7475%
1849000, 92.751%
1850000, 92.7543%
1851000, 92.7578%
1852000, 92.76%
1853000, 92.7552%
1854000, 92.7557%
1855000, 92.7519%
1856000, 92.7511%
1857000, 92.7491%
1858000, 92.7459%
1859000, 92.7458%
1860000, 92.7402%
1861000, 92.7402%
1862000, 92.7366%
1863000, 92.7356%
1864000, 92.7332%
1865000, 92.7307%
1866000, 92.7307%
1867000, 92.7265%
1868000, 92.7278%
1869000, 92.7239%
1870000, 92.7234%
1871000, 92.7206%
1872000, 92.7184%
1873000, 92.7177%
1874000, 92.7137%
1875000, 92.7157%
1876000, 92.7116%
1877000, 92.7115%
1878000, 92.7084%
1879000, 92.7051%
1880000, 92.7053%
1881000, 92.7006%
1882000, 92.7004%
1883000, 92.6976%
1884000, 92.6955%
1885000, 92.6952%
1886000, 92.6949%
1887000, 92.6979%
1888000, 92.7009%
1889000, 92.7043%
1890000, 92.7076%
1891000, 92.711%
1892000, 92.7143%
1893000, 92.7176%
1894000, 92.721%
1895000, 92.7243%
1896000, 92.7276%
1897000, 92.731%
1898000, 92.7268%
1899000, 92.7264%
1900000, 92.7239%
1901000, 92.723%
1902000, 92.7213%
1903000, 92.7176%
1904000, 92.7169%
1905000, 92.7121%
1906000, 92.7095%
1907000, 92.7078%
1908000, 92.7036%
1909000, 92.7041%
1910000, 92.6996%
1911000, 92.6993%
1912000, 92.6981%
1913000, 92.696%
1914000, 92.6963%
1915000, 92.692%
1916000, 92.6935%
1917000, 92.6902%
1918000, 92.6911%
1919000, 92.6872%
1920000, 92.6867%
1921000, 92.6844%
1922000, 92.6823%
1923000, 92.6822%
1924000, 92.6781%
1925000, 92.6796%
1926000, 92.6755%
1927000, 92.6748%
1928000, 92.6717%
1929000, 92.6698%
1930000, 92.6691%
1931000, 92.6683%
1932000, 92.6709%
1933000, 92.6741%
1934000, 92.6774%
1935000, 92.6805%
1936000, 92.6838%
1937000, 92.6871%
1938000, 92.6904%
1939000, 92.6937%
1940000, 92.6969%
1941000, 92.7002%
1942000, 92.7035%
1943000, 92.7008%
1944000, 92.6999%
1945000, 92.6986%
1946000, 92.6951%
1947000, 92.6952%
1948000, 92.6913%
1949000, 92.6913%
1950000, 92.6884%
1951000, 92.6852%
1952000, 92.6855%
1953000, 92.6858%
1954000, 92.6874%
1955000, 92.6827%
1956000, 92.6817%
1957000, 92.6799%
1958000, 92.6761%
1959000, 92.6766%
1960000, 92.673%
1961000, 92.6727%
1962000, 92.6702%
1963000, 92.6689%
1964000, 92.6676%
1965000, 92.6627%
1966000, 92.6635%
1967000, 92.6592%
1968000, 92.6608%
1969000, 92.6582%
1970000, 92.6578%
1971000, 92.6559%
1972000, 92.6531%
1973000, 92.6528%
1974000, 92.6497%
1975000, 92.651%
1976000, 92.6479%
1977000, 92.6506%
1978000, 92.6536%
1979000, 92.6564%
1980000, 92.6566%
1981000, 92.6557%
1982000, 92.6544%
1983000, 92.6542%
1984000, 92.6514%
1985000, 92.6522%
1986000, 92.6502%
1987000, 92.6521%
1988000, 92.6549%
1989000, 92.6575%
1990000, 92.6558%
1991000, 92.657%
1992000, 92.659%
1993000, 92.6572%
1994000, 92.6569%
1995000, 92.6551%
1996000, 92.6568%
1997000, 92.6535%
1998000, 92.6551%
1999000, 92.6528%
2000000, 92.6532%


final accurracy, 92.6532%
